price_id;price_range
754;€26-€45
755;€18-€44
756;€10-€90
757;€21-€70
758;€23-€78
759;€9-€11
760;€12-€43
761;€8-€9
762;€7-€34
763;€21-€31
764;€11-€33
765;€11-€43
766;€25-€51
767;€16-€16
768;€10-€38
769;€29-€99
770;€20-€26
771;€33-€52
772;€32-€52
773;€14-€65
774;€4-€42
775;€22-€40
776;€16-€54
777;€6-€32
778;€15-€48
779;€29-€900
780;€20-€24
781;€19-€36
782;€32-€48
783;€22-€35
784;€21-€84
785;€2-€29
786;€5-€31
787;€11-€46
788;€26-€107
789;€15-€58
790;€24-€43
791;€22-€65
792;€24-€10,000
793;€29-€55
794;€8-€44
795;€19-€28
796;€22-€55
797;€13-€112
798;€29-€47
799;€30-€45
800;€16-€19
801;€4-€5
802;€12-€31
803;€15-€70
804;€15-€27
805;€16-€59
806;€14-€80
807;€20-€41
808;€18-€62
809;€9-€69
810;€29-€65
811;€22-€28
812;€12-€49
813;€20-€56
814;€11-€13
815;€13-€48
816;€45-€51
817;€21-€27
818;€23-€62
819;€22-€69
820;€39-€109
821;€22-€49
822;€11-€42
823;€24-€65
824;€22-€50
825;€79-€158
826;€19-€42
827;€23-€57
828;€20-€49
829;€27-€110
830;€12-€100
831;€17-€48
832;€30-€30
833;€45-€75
834;€7-€41
835;€4-€59
836;€23-€49
837;€18-€27
838;€5-€38
839;€2-€50
840;€16-€63
841;€19-€44
842;€14-€42
843;€23-€38
844;€17-€83
845;€21-€25
846;€16-€18
847;€24-€35
848;€39-€55
849;€18-€48
850;€4-€27
851;€49-€110
852;€21-€36
853;€22-€39
854;€30-€39
855;€12-€59
856;€25-€48
857;€17-€42
858;€23-€48
859;€23-€43
860;€17-€88
861;€48-€49
862;€23-€40
863;€27-€85
864;€10-€66
865;€58-€58
866;€32-€60
867;€30-€70
868;€100-€180
869;€4-€24
870;€20-€47
871;€21-€34
872;€45-€70
873;€5-€29
874;€17-€36
875;€20-€65
876;€14-€100
877;€13-€100
878;€25-€75
879;€17-€54
880;€21-€48
881;€39-€180
882;€22-€27
883;€14-€15
884;€6-€6
885;€7-€40
886;€17-€121
887;€25-€37
888;€21-€39
889;€45-€150
890;€30-€90
891;€45-€157
892;€25-€27
893;€40-€3,000
894;€33-€95
895;€45-€57
896;€23-€32
897;€11-€41
898;€2-€75
899;€28-€48
900;€21-€38
901;€7-€48
902;€29-€48
903;€22-€62
904;€45-€125
905;€18-€69
906;€11-€11
907;€4-€60
908;€12-€1,200
909;€5-€33
910;€12-€90
911;€50-€150
912;€27-€35
913;€9-€37
914;€21-€58
915;€15-€150
916;€8-€74
917;€26-€41
918;€3-€31
919;€40-€51
920;€50-€65
921;€54-€115
922;€662-€827
923;€11-€14
924;€39-€57
925;€10-€13
926;€1-€5
927;€39-€40
928;€33-€69
929;€5-€7
930;€21-€99
931;€14-€46
932;€22-€42
933;€31-€80
934;€24-€50
935;€6-€69
936;€36-€67
937;€15-€56
938;€20-€37
939;€20-€48
940;€23-€60
941;€45-€90
942;€13-€14
943;€100-€250
944;€21-€28
945;€48-€92
946;€18-€26
947;€36-€59
948;€21-€32
949;€3-€65
950;€3-€300
951;€40-€80
952;€110-€130
953;€35-€50
954;€33-€131
955;€6-€36
956;€17-€100
957;€39-€97
958;€33-€56
959;€18-€56
960;€65-€115
961;€52-€150
962;€30-€44
963;€5-€64
964;€25-€100
965;€11-€12
966;€28-€68
967;€37-€62
968;€33-€55
969;€345-€345
970;€27-€47
971;€4-€26
972;€26-€79
973;€32-€120
974;€22-€64
975;€8-€47
976;€32-€110
977;€11-€39
978;€25-€68
979;€3-€6
980;€17-€49
981;€13-€47
982;€12-€68
983;€20-€500
984;€19-€75
985;€10-€42
986;€40-€70
987;€21-€62
988;€45-€45
989;€33-€59
990;€17-€41
991;€25-€38
992;€65-€110
993;€35-€80
994;€9-€38
995;€7-€42
996;€23-€33
997;€4-€100
998;€26-€28
999;€95-€95
1000;€29-€50
1001;€350-€1,650
1002;€8-€38
1003;€16-€60
1004;€23-€28
1005;€26-€35
1006;€24-€41
1007;€25-€33
1008;€31-€75
1009;€20-€31
1010;€24-€58
1011;€9-€65
1012;€35-€40
1013;€24-€59
1014;€85-€140
1015;€16-€100
1016;€5-€600
1017;€39-€95
1018;€20-€54
1019;€42-€50
1020;€17-€70
1021;€24-€48
1022;€25-€89
1023;€18-€20
1024;€28-€32
1025;€7-€37
1026;€22-€34
1027;€35-€60
1028;€80-€120
1029;€20-€23
1030;€23-€69
1031;€20-€27
1032;€24-€90
1033;€28-€42
1034;€15-€62
1035;€31-€104
1036;€59-€159
1037;€20-€38
1038;€13-€41
1039;€8-€45
1040;€18-€33
1041;€39-€90
1042;€19-€32
1043;€12-€120
1044;€19-€80
1045;€19-€55
1046;€22-€44
1047;€29-€37
1048;€15-€100
1049;€42-€72
1050;€35-€115
1051;€14-€43
1052;€11-€53
1053;€6-€160
1054;€80-€160
1055;€21-€33
1056;€19-€64
1057;€4-€28
1058;€20-€55
1059;€20-€52
1060;€3-€19
1061;€8-€52
1062;€18-€37
1063;€50-€75
1064;€10-€75
1065;€32-€51
1066;€27-€37
1067;€41-€76
1068;€26-€53
1069;€13-€65
1070;€8-€62
1071;€29-€79
1072;€19-€70
1073;€26-€34
1074;€14-€85
1075;€13-€150
1076;€7-€44
1077;€6-€55
1078;€32-€145
1079;€8-€32
1080;€12-€75
1081;€48-€88
1082;€10-€44
1083;€24-€87
1084;€50-€285
1085;€18-€41
1086;€26-€43
1087;€40-€60
1088;€37-€48
1089;€9-€49
1090;€29-€59
1091;€37-€69
1092;€45-€80
1093;€45-€65
1094;€23-€52
1095;€38-€69
1096;€37-€90
1097;€18-€49
1098;€69-€159
1099;€16-€62
1100;€24-€30
1101;€145-€200
1102;€15-€89
1103;€21-€72
1104;€4-€37
1105;€8-€39
1106;€2-€24
1107;€7-€49
1108;€14-€64
1109;€5-€200
1110;€6-€38
1111;€4-€50
1112;€18-€31
1113;€13-€59
1114;€34-€85
1115;€18-€58
1116;€2-€21
1117;€16-€70
1118;€23-€45
1119;€75-€95
1120;€22-€31
1121;€30-€42
1122;€34-€68
1123;€16-€110
1124;€85-€120
1125;€60-€87
1126;€100-€220
1127;€38-€75
1128;€23-€30
1129;€45-€149
1130;€28-€125
1131;€25-€91
1132;€64-€84
1133;€13-€42
1134;€29-€38
1135;€24-€44
1136;€20-€70
1137;€32-€40
1138;€39-€49
1139;€14-€90
1140;€20-€67
1141;€16-€48
1142;€29-€80
1143;€23-€65
1144;€14-€16
1145;€110-€135
1146;€26-€60
1147;€40-€120
1148;€40-€75
1149;€4-€45
1150;€15-€65
1151;€32-€129
1152;€39-€59
1153;€150-€200
1154;€2-€80
1155;€7-€75
1156;€17-€53
1157;€3-€22
